TotalPubs
1
1
1
4
1
1
1
2
2
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
2
2
1
1
1
35
1
1
2
1
1
1
1
10
1
1
1
1
1
2
1
2
1
1
1
4
1
1
1
2
1
1
1
4
1
3
8
1
2
1
7
1
1
1
2
1
1
1
9
1
5
1
3
1
1
6
5
1
24
1
1
1
2
1
1
17
7
1
13
2
10
2
5
2
1
2
1
7
1
2
2
2
1
5
2
6
1
2
2
3
1
1
1
2
1
2
9
11
1
1
6
1
1
1
7
1
2
1
1
1
2
1
1
3
1
1
2
1
2
1
2
2
1
1
7
1
3
1
1
1
3
3
3
6
1
2
8
1
6
1
1
1
6
1
2
3
1
1
1
1
1
1
7
1
1
1
8
17
1
1
1
5
1
3
1
6
1
1
4
2
1
1
5
1
1
3
1
4
1
1
1
1
1
1
1
3
1
3
1
2
4
1
2
1
9
5
2
2
1
2
2
1
10
3
1
2
6
1
1
3
1
1
1
1
6
3
2
1
1
2
1
1
2
1
2
4
4
3
3
1
6
1
1
2
4
1
1
1
1
1
5
5
1
4
2
1
2
1
1
1
1
1
1
2
1
1
1
1
1
4
1
1
1
3
1
11
3
5
4
1
1
1
1
3
1
2
1
1
1
1
5
1
1
1
1
1
1
1
1
1
1
6
1
3
2
1
1
1
1
1
1
1
1
3
1
1
8
1
1
1
1
1
4
1
2
1
1
1
1
20
1
6
1
2
1
1
1
1
2
2
1
4
4
2
1
3
4
1
1
1
2
1
4
1
1
2
1
1
2
1
1
1
1
1
1
1
1
1
3
2
4
3
1
1
1
1
1
5
1
1
1
2
1
1
2
1
1
9
1
1
1
1
3
4
3
2
4
4
1
1
3
1
1
1
1
2
1
1
1
1
2
4
9
1
1
1
1
1
1
10
3
1
1
2
1
2
1
3
1
1
1
1
1
1
1
1
1
2
1
1
1
10
1
1
4
1
1
10
1
6
1
2
1
3
3
3
1
1
1
1
1
1
1
1
1
4
1
1
3
3
1
1
10
1
1
1
6
1
1
3
2
1
1
1
1
4
1
14
1
2
5
1
1
1
6
2
1
1
2
5
1
4
8
7
1
1
4
2
1
1
1
3
1
2
2
1
1
3
1
6
5
7
7
8
4
1
1
2
2
1
1
1
1
1
1
1
1
1
1
2
1
1
2
1
1
1
1
1
1
1
2
1
1
1
11
1
7
4
1
5
1
2
1
1
1
1
1
1
1
1
1
1
1
13
1
17
1
2
1
1
3
1
4
7
4
1
2
2
5
1
2
1
3
1
1
1
1
1
1
1
1
1
1
1
12
1
2
1
1
3
1
1
4
1
1
1
1
1
2
1
1
1
1
1
1
4
1
6
7
1
2
7
1
1
2
1
4
8
2
1
1
2
3
1
1
2
1
1
2
1
5
2
1
6
4
3
1
4
2
11
19
1
1
1
2
1
2
1
1
1
2
12
20
1
1
2
1
2
1
1
1
1
1
3
2
1
1
3
1
2
1
3
5
1
1
4
4
3
1
2
1
1
1
1
1
3
1
1
10
2
7
1
2
1
1
2
1
1
1
1
2
1
2
1
2
1
3
1
2
1
3
3
1
1
1
1
2
1
2
1
1
1
3
2
1
1
2
