Neighborhood,Surface area,"Inhabitants, total, 2019 (HE)","Males, 2019 (HE)","Females, 2019 (HE)","Average age of inhabitants, 2019 (HE)","0-2 years, 2019 (HE)","3-6 years, 2019 (HE)","7-12 years, 2019 (HE)","13-15 years, 2019 (HE)","16-17 years, 2019 (HE)","18-19 years, 2019 (HE)","20-24 years, 2019 (HE)","25-29 years, 2019 (HE)","30-34 years, 2019 (HE)","35-39 years, 2019 (HE)","40-44 years, 2019 (HE)","45-49 years, 2019 (HE)","50-54 years, 2019 (HE)","55-59 years, 2019 (HE)","60-64 years, 2019 (HE)","65-69 years, 2019 (HE)","70-74 years, 2019 (HE)","75-79 years, 2019 (HE)","80-84 years, 2019 (HE)","85 years or over, 2019 (HE)","Aged 18 or over, total, 2019 (KO)","Median income of inhabitants, 2019 (HR)"
00880  Roihupellon teollisuusalue (Helsinki),1769751,719,356,363,43,23,22,23,5,10,9,20,98,92,59,45,37,49,33,44,38,45,23,24,20,636,25867
00890  Östersundom (Helsinki),27345953,1866,939,927,40,32,71,155,111,78,82,95,41,56,75,113,149,289,202,92,72,73,42,24,14,1419,31447
00900  Puotinharju (Helsinki),1169003,4203,2022,2181,43,126,181,196,98,62,75,270,327,335,298,270,213,292,330,248,233,216,149,131,153,3540,21429
00910  Puotila (Helsinki),1118992,5909,2783,3126,43,170,208,328,139,93,125,316,520,508,440,434,336,364,380,320,297,292,188,175,276,4971,22815
00920  Myllypuro (Helsinki),3573373,13946,6788,7158,41,501,764,983,410,279,309,668,898,1057,1060,946,781,923,957,821,655,687,451,439,357,11009,23540
00930  Itäkeskus-Marjaniemi (Helsinki),2034415,6813,3241,3572,42,212,302,419,225,158,175,397,458,451,441,392,394,511,489,422,388,366,245,195,173,5497,22303
00940  Kontula - Vesala (Helsinki),5776813,25772,12432,13340,41,867,1161,1712,851,561,633,1549,1858,1850,1745,1548,1543,1780,1776,1520,1261,1253,862,768,674,20620,20329
00950  Vartioharju (Helsinki),3135342,6189,2999,3190,41,166,263,459,262,165,147,282,299,332,403,444,404,514,520,427,328,329,219,130,96,4874,28131
00960  Pohjois-Vuosaari (Helsinki),2504021,7246,3484,3762,43,185,301,455,229,144,156,330,472,494,485,480,472,584,571,450,391,438,276,200,133,5932,23705
00970  Mellunmäki (Helsinki),3453709,10782,5093,5689,43,312,439,611,296,229,232,618,732,833,711,668,585,756,803,723,643,671,395,295,230,8895,22327
00980  Etelä-Vuosaari (Helsinki),10710384,23223,10784,12439,41,753,1124,1623,842,540,534,1300,1589,1671,1497,1423,1369,1733,1655,1348,1168,1169,732,608,545,18341,22153
00990  Aurinkolahti (Helsinki),2565419,8555,3984,4571,42,259,357,555,236,145,113,397,586,640,602,641,561,622,524,533,496,551,359,243,135,7003,26680
